direction,phase,sector,ticker,events,avg_alpha,median_alpha,hit_rate,vol_alpha,consistency_ratio,avg_max_drawdown,alpha_rank,consistency_rank,drawdown_rank,composite_score
Cut,Pre-45D,Consumer Discretionary,XLY,5,-0.017173374393861195,-0.018852132780641684,0.2,0.013916078928618684,-1.2340670444563102,-0.12269244611175115,9.0,11.0,7.0,0.16590909090909092
Cut,Pre-45D,Energy,XLE,5,-0.1097773346991278,-0.04407999267942797,0.0,0.1021539156476824,-1.0746267923565234,-0.21394772578515156,11.0,10.0,11.0,0.027272727272727275
Hike,Post-45D,Technology,XLK,13,0.012387629510942598,0.013992894589711646,0.5384615384615384,0.037778604902508645,0.32790066078167995,-0.10017433797660692,2.0,1.0,7.0,0.696590909090909
Hike,Post-45D,Energy,XLE,13,0.014517373364775373,-0.02152425145920578,0.46153846153846156,0.09659877005029228,0.15028528165749092,-0.11782781836045093,1.0,3.0,11.0,0.6204545454545456
Hike,Post-45D,Health Care,XLV,13,-0.002468665160002377,0.01097263088965017,0.5384615384615384,0.05582424338447263,-0.044222097969159935,-0.06430615225764078,5.0,5.0,1.0,0.6000000000000001
Hike,Post-45D,Industrials,XLI,13,0.006043044894252891,-0.0034146362165852207,0.46153846153846156,0.038951777525393895,0.1551416977136214,-0.07931228373249408,3.0,2.0,3.0,0.5909090909090909
Hike,Post-45D,Financials,XLF,13,-0.0036634384387674856,0.00036738661771451575,0.5384615384615384,0.04104364373001981,-0.0892571444890504,-0.08661797858239441,6.0,6.0,5.0,0.5613636363636364
Hike,Post-45D,Communication Services,XLC,13,0.001969105022606943,-0.015451255474229875,0.46153846153846156,0.05168354641091763,0.0380992629056699,-0.10291640076041828,4.0,4.0,8.0,0.5556818181818183
Hike,Post-45D,Consumer Staples,XLP,13,-0.005827710570251981,0.005218124112325029,0.5384615384615384,0.05790457094029296,-0.1006433598525598,-0.06483659597762843,7.0,8.0,2.0,0.5295454545454545
Hike,Post-45D,Utilities,XLU,13,-0.007455906244063688,0.016317057698562287,0.5384615384615384,0.08098775910489348,-0.09206213786464902,-0.0863299050651794,9.0,7.0,4.0,0.5068181818181818
