event_date,move_bps,direction,phase,sector,ticker,sector_return,benchmark_return,alpha,max_drawdown
2020-03-16,-100.0,Cut,Post-45D,Energy,XLE,0.3911090795757044,0.22446040741495676,0.16664867216074764,-0.14357131890011776
2020-03-16,-100.0,Cut,Pre-45D,Financials,XLF,-0.3567269214809241,-0.2657278080013413,-0.09099911347958278,-0.3618864813722166
2020-03-16,-100.0,Cut,Post-45D,Financials,XLF,0.09467440182264286,0.22446040741495676,-0.1297860055923139,-0.1507034415108417
2020-03-16,-100.0,Cut,Pre-45D,Health Care,XLV,-0.20482614606409977,-0.2657278080013413,0.06090166193724156,-0.2197079284160811
2020-03-16,-100.0,Cut,Post-45D,Health Care,XLV,0.22999887097169047,0.22446040741495676,0.005538463556733708,-0.13664747619528506
2020-03-16,-100.0,Cut,Pre-45D,Industrials,XLI,-0.3304535007063196,-0.2657278080013413,-0.0647256927049783,-0.3453011376304992
2020-03-16,-100.0,Cut,Post-45D,Industrials,XLI,0.13003237486916364,0.22446040741495676,-0.09442803254579313,-0.1579810288321325
2020-03-16,-100.0,Cut,Pre-45D,Materials,XLB,-0.3080910107922614,-0.2657278080013413,-0.042363202790920096,-0.32302931644256017
2020-03-16,-100.0,Cut,Post-45D,Materials,XLB,0.28127540212298774,0.22446040741495676,0.056814994708030975,-0.12158746680991539
2020-03-16,-100.0,Cut,Pre-45D,Real Estate,XLRE,-0.2249805243572669,-0.2657278080013413,0.04074728364407443,-0.29263045344225413
2020-03-16,-100.0,Cut,Post-45D,Real Estate,XLRE,0.08222298352192925,0.22446040741495676,-0.14223742389302751,-0.1846542008244565
2020-03-16,-100.0,Cut,Pre-45D,Technology,XLK,-0.23273772178945917,-0.2657278080013413,0.03299008621188215,-0.29409482680374555
2020-03-16,-100.0,Cut,Post-45D,Technology,XLK,0.32177824815514944,0.22446040741495676,0.09731784074019267,-0.08686976198353558
2020-03-16,-100.0,Cut,Pre-45D,Utilities,XLU,-0.20411013131287548,-0.2657278080013413,0.06161767668846585,-0.2797973559073158
2020-03-16,-100.0,Cut,Post-45D,Utilities,XLU,0.10879959042201737,0.22446040741495676,-0.1156608169929394,-0.21297564057714125
2022-03-17,25.0,Hike,Pre-45D,Communication Services,XLC,-0.12430137712425038,-0.061053823782013295,-0.06324755334223708,-0.17387376024576262
2022-03-17,25.0,Hike,Post-45D,Communication Services,XLC,-0.1363400327991512,-0.11388119556808984,-0.022458837231061346,-0.1988764043687522
2022-03-17,25.0,Hike,Pre-45D,Consumer Discretionary,XLY,-0.11010636094875659,-0.061053823782013295,-0.04905253716674329,-0.19008389577278229
2022-03-17,25.0,Hike,Post-45D,Consumer Discretionary,XLY,-0.21054423838112724,-0.11388119556808984,-0.09666304281303739,-0.2669030584088905
2022-03-17,25.0,Hike,Pre-45D,Consumer Staples,XLP,-0.035193314945428655,-0.061053823782013295,0.02586050883658464,-0.07256904774777728
2022-03-17,25.0,Hike,Post-45D,Consumer Staples,XLP,-0.040519963091032674,-0.11388119556808984,0.07336123247705717,-0.12436383230110681
2022-03-17,25.0,Hike,Pre-45D,Energy,XLE,0.1695399255944925,-0.061053823782013295,0.23059374937650579,-0.07802387847418157
2022-03-17,25.0,Hike,Post-45D,Energy,XLE,0.1163239752334091,-0.11388119556808984,0.23020517080149894,-0.0905949737852072
2022-03-17,25.0,Hike,Pre-45D,Financials,XLF,-0.05991769065362629,-0.061053823782013295,0.0011361331283870069,-0.13906349195171808
2022-03-17,25.0,Hike,Post-45D,Financials,XLF,-0.15063462669359595,-0.11388119556808984,-0.03675343112550611,-0.1670039574066251
2022-03-17,25.0,Hike,Pre-45D,Health Care,XLV,-0.004824397282042869,-0.061053823782013295,0.056229426499970425,-0.07499460160696103
2022-03-17,25.0,Hike,Post-45D,Health Care,XLV,-0.04381299504957925,-0.11388119556808984,0.07006820051851059,-0.11762234111400582
2022-03-17,25.0,Hike,Pre-45D,Industrials,XLI,-0.03276038669223558,-0.061053823782013295,0.028293437089777718,-0.1022631861010459
2022-03-17,25.0,Hike,Post-45D,Industrials,XLI,-0.12114674039944417,-0.11388119556808984,-0.007265544831354331,-0.14296627734385792
2022-03-17,25.0,Hike,Pre-45D,Materials,XLB,-0.042300660843158866,-0.061053823782013295,0.01875316293885443,-0.11621988192484878
2022-03-17,25.0,Hike,Post-45D,Materials,XLB,-0.033298243998334476,-0.11388119556808984,0.08058295156975537,-0.10281619876372716
2022-03-17,25.0,Hike,Pre-45D,Real Estate,XLRE,-0.036400874137234696,-0.061053823782013295,0.0246529496447786,-0.10299810027669765
2022-03-17,25.0,Hike,Post-45D,Real Estate,XLRE,-0.09608260093037346,-0.11388119556808984,0.01779859463771638,-0.17529633604124728
2022-03-17,25.0,Hike,Pre-45D,Technology,XLK,-0.09520662547274383,-0.061053823782013295,-0.03415280169073054,-0.1620837740664578
2022-03-17,25.0,Hike,Post-45D,Technology,XLK,-0.13594283796974138,-0.11388119556808984,-0.022061642401651538,-0.20018353907888575
